country,iso,consumption,year
Libya,LBY,3979.06643382539,2022
South Africa,ZAF,3404.62349072379,2022
Algeria,DZA,1756.58721304339,2022
Tunisia,TUN,1595.4672096668,2022
Botswana,BWA,1522.19852354121,2022
"Egypt, Arab Rep.",EGY,1477.94873388638,2022
Namibia,NAM,1230.93981233791,2022
Gabon,GAB,1065.10467769784,2022
Morocco,MAR,978.27258674367,2022
Zambia,ZMB,703.966836001778,2022
Ghana,GHA,552.502821188307,2022
Zimbabwe,ZWE,538.799541180266,2022
Senegal,SEN,399.521774928173,2022
Mozambique,MOZ,397.718709002866,2022
Angola,AGO,392.507046928459,2022
Cote d'Ivoire,CIV,323.704535370651,2022
Cameroon,CMR,283.68490442019,2022
Togo,TGO,191.864716012717,2022
Kenya,KEN,189.355465367737,2022
Nigeria,NGA,135.603309430584,2022
Benin,BEN,105.309051541913,2022
Ethiopia,ETH,92.4358249132126,2022
Rwanda,RWA,68.1267274337541,2022
Niger,NER,62.4210526773239,2022
Chad,TCD,14.467376229158,2022
