country,outages_pct,outages_num,outages_duration,losses_pct,generator_pct,predicted_generator_pct
Angola,61.4,2.3,0.5,0.0,69.0,39.428228044006886
Benin,86.1,7.8,0.6,0.0,58.7,49.67054918710225
Botswana,64.2,2.4,2.0,0.0,50.4,48.109930173846664
Burkina Faso,92.5,8.0,1.8,2.7,35.5,47.85032608857589
Burundi,93.9,5.9,1.0,0.0,31.2,53.77475476965719
Cabo Verde,39.6,0.8,0.0,0.0,28.6,29.215619592083428
Cameroon,93.3,10.4,3.5,2.0,56.0,60.188930755260955
Chad,96.2,15.9,15.0,10.0,86.7,91.79270423282881
Comoros,91.7,41.9,3.5,5.0,58.1,57.2574733173089
Cote d'Ivoire,80.3,3.5,2.0,2.0,39.3,46.21013556763607
Djibouti,80.2,1.6,1.0,0.0,69.1,48.02633141143848
Equatorial Guinea,33.3,0.9,0.0,0.0,33.3,27.159421213444308
Eritrea,20.5,0.5,0.0,0.0,36.8,22.811241297541773
Eswatini,58.5,1.2,0.3,0.0,22.4,37.12749345921765
Ethiopia,80.0,8.2,2.0,0.0,49.1,54.97719978359279
Gabon,71.6,4.6,1.0,0.0,22.9,46.02891707475973
Ghana,73.8,2.9,1.0,0.0,67.9,46.27626548912083
Guinea,91.1,3.2,2.0,0.0,49.9,57.23641804406216
Guinea-Bissau,72.2,2.5,0.0,0.0,42.5,40.48246789824796
Kenya,82.8,3.8,2.0,1.0,65.6,50.89096762316207
Lesotho,64.6,1.9,1.0,0.2,33.6,42.195828168887154
Liberia,64.5,5.8,4.0,0.0,90.5,59.472983957313545
Madagascar,52.4,6.3,0.3,0.0,17.2,36.55088207706144
Malawi,89.1,9.2,3.7,0.0,35.3,67.02805021444154
Mali,87.1,26.6,8.0,10.0,38.8,55.74715963331509
Mauritania,90.7,5.3,1.0,0.0,42.2,52.54636844547036
Mauritius,40.4,1.0,0.0,0.0,39.8,29.536850307651264
Morocco,10.9,0.2,0.0,0.0,2.8,19.550106360614876
Mozambique,52.8,1.6,0.0,0.0,29.0,33.8092196728966
Namibia,53.7,1.2,0.0,0.0,44.1,33.9939275463964
Niger,78.0,22.0,0.8,0.2,69.4,51.28111048727633
Nigeria,82.5,10.9,3.0,0.0,86.3,61.71894851210598
Rwanda,60.6,1.8,0.1,0.0,22.9,36.96165805741745
Senegal,55.0,1.8,0.1,0.0,30.5,35.108798815034014
Seychelles,38.3,0.5,0.0,0.0,17.8,28.700686746546264
Sierra Leone,66.2,4.0,2.4,2.0,61.5,43.74677649859816
Federal Republic of Somalia,52.6,1.4,0.0,0.0,11.2,33.68650959044128
South Africa,92.0,7.7,2.0,0.0,63.3,58.806271100631804
South Sudan,68.4,1.7,1.0,1.0,65.3,40.38150261883753
Sudan,93.7,3.4,2.0,0.0,54.1,58.15321065896753
Tanzania,34.1,0.7,0.0,0.0,38.7,27.367578852843174
Togo,86.1,2.7,0.8,1.0,45.3,45.49027675413157
Tunisia,35.5,0.4,0.0,0.0,3.4,27.74598885631231
Uganda,81.5,6.3,4.0,1.0,52.2,61.47021863028208
Zambia,87.1,13.3,6.0,10.0,62.1,41.68480753122256
Zimbabwe,76.5,4.5,2.5,0.0,62.3,55.34890488240881
